handle,member,account_type,caucuses,state_district
RepJeffries,Hakeem Jeffries,official,leadership|cbc,NY-08
hakeemjeffries,Hakeem Jeffries,personal,leadership|cbc,NY-08
RepCasar,Greg Casar,official,progressive,TX-35
AOC,Alexandria Ocasio-Cortez,personal,progressive,NY-14
RepAOC,Alexandria Ocasio-Cortez,official,progressive,NY-14
RepPressley,Ayanna Pressley,official,progressive|cbc,MA-07
Ilhan,Ilhan Omar,personal,progressive|cbc,MN-05
RepSummerLee,Summer Lee,official,progressive|cbc,PA-12
RepSchneider,Brad Schneider,official,newdem,IL-10
RepDean,Madeleine Dean,official,newdem,PA-04
RepYvetteClarke,Yvette Clarke,official,cbc,NY-09
RepJoyceBeatty,Joyce Beatty,official,cbc,OH-03
RepKClark,Katherine Clark,official,leadership,MA-05
RepAguilar,Pete Aguilar,official,leadership,CA-33
